book_id,title,author,genre,avg_rating,popularity
1.0,Total homogeneous definition,Anthony Watson,Thriller,3.52,6910.0
2.0,Persistent uniform access,Gregory Martin,Fantasy,3.8,8477.0
3.0,Diverse maximized installation,Jessica Young,Horror,3.93,1354.0
4.0,Configurable foreground pricing structure,Joseph Horn,Romance,4.47,6627.0
5.0,Re-contextualized well-modulated groupware,Hannah Campbell,Horror,3.02,5227.0
6.0,Switchable intermediate encryption,Gary Green,Fantasy,4.01,7450.0
7.0,Implemented value-added definition,David Jones,Fantasy,4.31,6582.0
8.0,Integrated reciprocal capability,Timothy Chapman,Romance,3.11,6963.0
9.0,Versatile real-time encryption,Theresa Green,Romance,4.27,9890.0
10.0,Reduced local forecast,Stanley Wiley,Horror,4.82,8226.0
11.0,Fundamental 3rdgeneration moderator,Sara Lyons,Romance,3.95,5490.0
12.0,Down-sized client-server definition,Garrett Fisher,Horror,4.94,1830.0
13.0,Robust uniform matrices,Colleen Johnston,Sci-Fi,4.96,8712.0
14.0,Public-key secondary throughput,Lauren Peck,Sci-Fi,4.74,1311.0
15.0,,Adam Shannon,Fantasy,3.67,9670.0
16.0,Re-engineered local capacity,Christopher Dalton,Romance,4.03,7455.0
17.0,Virtual 6thgeneration matrices,Steven Stone,Romance,3.93,653.0
18.0,Ergonomic executive product,Jennifer Rogers,Fantasy,3.98,6015.0
19.0,Reduced clear-thinking time-frame,David Williams,Fantasy,4.2,6051.0
20.0,Grass-roots non-volatile Internet solution,Jane Brown,Romance,3.67,4853.0
21.0,Up-sized reciprocal definition,Samantha Thomas,Sci-Fi,3.05,4379.0
22.0,User-centric heuristic benchmark,Brian Gross,Fantasy,3.71,288.0
23.0,Persistent full-range infrastructure,Kendra Larson,Romance,3.6,584.0
24.0,Ergonomic full-range paradigm,Michael Ruiz,Thriller,3.71,600.0
25.0,Adaptive next generation Internet solution,Angela Berry,Thriller,3.79,2872.0
26.0,Extended asymmetric firmware,Kristen Lopez,Fantasy,3.19,2370.0
27.0,Total fresh-thinking infrastructure,Bradley Walker,Mystery,3.86,4501.0
28.0,Quality-focused neutral hub,Daniel Zamora,Romance,3.92,4000.0
29.0,Ergonomic incremental complexity,Natalie Johnson,Self-help,4.81,8578.0
30.0,Fully-configurable content-based function,Clayton Russell,Thriller,3.08,5351.0
31.0,Streamlined bi-directional adapter,Matthew Klein,Romance,3.29,1657.0
32.0,Operative motivating support,Rebecca Foster,Romance,4.96,1291.0
33.0,Quality-focused 4thgeneration alliance,Stephanie Herring,Romance,4.27,4948.0
34.0,Intuitive tertiary strategy,Laura Ramirez,Romance,3.04,4209.0
35.0,Versatile optimal application,Robert Davis,Sci-Fi,,1299.0
36.0,Switchable mobile intranet,Amy Baker,Horror,3.87,1908.0
37.0,Automated exuding database,Amy Perez,Sci-Fi,4.14,4968.0
38.0,Multi-lateral actuating complexity,Justin Blackburn,Mystery,4.08,3994.0
39.0,Optimized hybrid Graphical User Interface,Paul Blair,Mystery,3.1,9394.0
40.0,Versatile well-modulated complexity,Casey Mcknight,Thriller,4.52,7159.0
41.0,Secured discrete access,Chad Morales,Romance,4.38,3043.0
42.0,Customer-focused didactic database,Crystal Robinson,Romance,4.34,9907.0
43.0,Function-based incremental Local Area Network,Nicholas Martinez,Romance,3.36,4669.0
44.0,Optimized zero tolerance knowledgebase,Robert Kim,Romance,3.81,307.0
45.0,Optimized client-server time-frame,Leonard Potter,Sci-Fi,4.31,4502.0
46.0,Intuitive dynamic synergy,Donald Wood,Romance,4.2,5213.0
47.0,Centralized attitude-oriented conglomeration,Morgan Hawkins,Fantasy,3.45,5319.0
48.0,Fundamental mobile concept,Daniel Moran,Fantasy,4.22,9984.0
49.0,De-engineered 6thgeneration capacity,Judy Potts,Horror,4.18,9753.0
50.0,Reduced user-facing website,Dr. Ann Robbins DVM,Romance,3.78,9137.0
51.0,Switchable clear-thinking frame,James Gonzales,Fantasy,3.68,5675.0
52.0,Up-sized incremental firmware,Kimberly Blair,Horror,3.3,8176.0
53.0,Customer-focused methodical project,Kathleen Summers,Fantasy,4.4,6391.0
54.0,Open-source bi-directional process improvement,Lindsay Atkins,Romance,3.06,9361.0
55.0,Fundamental actuating info-mediaries,Joshua Herrera,Finance,4.26,9197.0
56.0,Organic coherent toolset,Lori Morgan,Finance,3.17,8677.0
57.0,Cloned contextually-based collaboration,Andrew Sosa,Romance,3.58,5167.0
58.0,Team-oriented global info-mediaries,Joseph Marquez,Thriller,3.93,2555.0
59.0,Profit-focused uniform support,David Wright,Mystery,3.33,5762.0
60.0,Ergonomic local orchestration,Angela Lopez,Thriller,3.83,384.0
61.0,De-engineered attitude-oriented array,Barbara Ellis,Sci-Fi,3.57,8041.0
62.0,Profound 6thgeneration encoding,Vickie Tran,Finance,3.75,8808.0
63.0,User-friendly reciprocal application,,Fantasy,4.21,2024.0
64.0,Persevering actuating matrix,Andrew Soto,Fantasy,3.44,1813.0
